순번,주소,상세위치,거치대 유무,location,lat,lng
24,서울특별시 용산구 갈월동 92,남영삼거리 (용산빌딩 앞),Y,"갈월동, 남영동, 용산구, 서울특별시, 04321, 대한민국",37.5460049,126.9729956
25,서울특별시 용산구 용산구 갈월동 69-29,숙대입구역 10번출구,N,"갈월동, 남영동, 용산구, 서울특별시, 04321, 대한민국",37.54487,126.9715441
26,서울특별시 성동구 홍익동 614-1,상왕십리역 1번출구,Y,"홍익동, 10통, 왕십리도선동, 성동구, 서울특별시, 04706, 대한민국",37.5660138,127.0327281
27,서울특별시 성동구 성수동1가 656-302,뚝섬역 1번출구,Y,,37.5481095,127.0456474
28,서울특별시 성동구 옥수동 401-1,옥수역 1번출구,Y,"옥수동, 성동구, 서울특별시, 대한민국",37.54176,127.01648
29,서울특별시 성동구 금호동4가 1470-1,금호역 3번출구,Y,"금호동4가, 금호4가동, 성동구, 서울특별시, 04743, 대한민국",37.54479,127.02339
30,서울특별시 성동구 금호동3가 1583,금호역 4번출구,Y,"금호동3가, 금호2·3가동, 성동구, 서울특별시, 04729, 대한민국",37.54998,127.02213
31,서울특별시 성동구 행당동 산17,한양대역 3번출구,Y,,37.5555778,127.0435848
32,서울특별시 광진구  자양동 854,자양역 1번출구 인근,N,"자양동, 동구, 대전광역시, 대한민국",37.5329735,127.0727409
33,서울특별시 동대문구 장안동 416-10,창도빌딩 앞(지하철 환풍구 옆 가로등 가로수 사이),N,"장안동, 장안1동, 동대문구, 서울특별시, 02624, 대한민국",37.57105,127.06806
34,서울특별시 동대문구 답십리동 497-23,천호대로 257 청계푸르지오시티오피스텔 앞,N,"답십리동, 답십리1동, 동대문구, 서울특별시, 02615, 대한민국",37.57002,127.05467
35,서울특별시 동대문구 신설동 98-32,신설동역 5번출구 뒤 자전거보관대 옆(파리바게트 앞),N,"신설동, 용신동, 동대문구, 서울특별시, 02586, 대한민국",37.573478,127.0257068
36,서울특별시 동대문구 휘경동 255-4,회기로 195 셰계주류마켓 앞 보도,N,"휘경동, 휘경2동, 동대문구, 서울특별시, 02500, 대한민국",37.58773,127.06526
37,서울특별시 동대문구 전농동 687,도미노피자 전농점 앞,N,"전농동, 전농1동, 동대문구, 서울특별시, 02505, 대한민국",37.5806,127.05543
38,서울특별시 동대문구 전농동 591-53,청량리역광장 서울청년센터 동대문오랑 앞,N,"전농동, 전농1동, 동대문구, 서울특별시, 02505, 대한민국",37.5806,127.05543
39,서울특별시 동대문구 이문동 329-1,스타벅스 외대정문점 앞,N,"이문동, 이문2동, 동대문구, 서울특별시, 02403, 대한민국",37.60021,127.06124
40,서울특별시 동대문구 전농동 295-53,우리은행 전농동지점 앞,N,"전농동, 전농1동, 동대문구, 서울특별시, 02505, 대한민국",37.5806,127.05543
41,서울특별시 동대문구 장안동 307-6,투썸플레이스 장안동 사거리점 앞,N,"장안동, 장안1동, 동대문구, 서울특별시, 02624, 대한민국",37.57105,127.06806
42,서울특별시 동대문구 휘경동 267-10,에스오일주유소 앞 따릉이대여소 옆,N,"휘경동, 휘경2동, 동대문구, 서울특별시, 02500, 대한민국",37.58773,127.06526
43,서울특별시 동대문구 전농동 103-340,시티프라자 앞,N,,37.5839603,127.0536151
44,서울특별시 동대문구 용두동 47-1,LG전자베스트샵 주차장 앞 보도,N,"용두동, 용신동, 동대문구, 서울특별시, 02566, 대한민국",37.57616,127.03476
45,서울특별시 동대문구 장안동 368-1,아트몰링 장안점 앞,N,"장안동, 기성동, 서구, 대전광역시, 35426, 대한민국",37.57105,127.06806
46,서울특별시 동대문구 전농동 10,베스킨라빈스 전농점 앞,N,"봄날식당, 10, 답십리로1길, 힐스테이트 청량리 더퍼스트, 전농1동, 동대문구, 서울특별시, 02559, 대한민국",37.5788299,127.0436848
47,서울특별시 중랑구 중화동 73-7,중랑역 2번출구 ,Y,"중화동, 중화2동, 중랑구, 서울특별시, 02102, 대한민국",37.59755,127.07783
48,서울특별시 성북구 성북구 석관동 375-54,석계역 7번출구 우측,Y,"석관동, 성북구, 서울특별시, 02788, 대한민국",37.60789,127.06116
49,서울특별시 성북구 성북구 월곡동 37-4,월곡역 3번 출구 좌측,Y,,37.0265458,127.1422615
50,서울특별시 성북구 성북구 종암동 3-1288,종암박스파크 북서측,Y,"북부간선도로, 종암동, 월곡1동, 성북구, 서울특별시, 02799, 대한민국",37.6022637,127.037315
51,서울특별시 성북구 길음동 877-66,길음역 3번 출구 뒷편,N,"길음동, 길음1동, 성북구, 서울특별시, 02720, 대한민국",37.6085308,127.0201946
52,서울특별시 강북구 수유동  230-10,수유역  5번  출구  앞,N,"수유동, 인수동, 강북구, 서울특별시, 01025, 대한민국",37.6352212,127.0090642
53,서울특별시 강북구 미아동  125-33,미아역  4번  출구  앞,N,"미아동, 강북구, 서울특별시, 대한민국",37.628995,127.0257543
54,서울특별시 강북구 미아동  134-39,이디야커피 미아중앙점 앞,N,"미아동, 강북구, 서울특별시, 대한민국",37.628995,127.0257543
55,서울특별시 강북구 미아동  160-14,얼맥당  수유점  앞,N,"미아동, 강북구, 서울특별시, 대한민국",37.628995,127.0257543
56,서울특별시 강북구 번동  418-9,수유역  1번  출구  앞,N,"번동, 번2동, 강북구, 서울특별시, 01145, 대한민국",37.62929,127.03684
57,서울특별시 강북구 미아동  190-1,아름다운가게  미아점  앞,N,"미아동, 강북구, 서울특별시, 대한민국",37.628995,127.0257543
58,서울특별시 강북구 번동  449-1,롯데시네마  수유관  앞,N,"번동, 번2동, 강북구, 서울특별시, 01145, 대한민국",37.62929,127.03684
59,서울특별시 강북구 수유동  183-4,청년치킨  수유점  앞,N,"수유동, 인수동, 강북구, 서울특별시, 01025, 대한민국",37.6352212,127.0090642
60,서울특별시 도봉구 창동723-11,창동 메가박스 앞,Y,,37.6541531,127.0381259
61,서울특별시 도봉구 쌍문동 83-4,크로커다일 앞,Y,"쌍문동, 쌍문1동, 도봉구, 서울특별시, 01375, 대한민국",37.65347,127.02715
62,서울특별시 도봉구 방학동 710,평화도봉공원,Y,"방학동, 방학2동, 도봉구, 서울특별시, 01356, 대한민국",37.66442,127.03333
63,서울특별시 노원구 화랑로510,화랑대역 2번출구 앞,N,,37.6198944,127.0837446
64,서울특별시 노원구 공릉로232,서울과학기술대 정문 앞(좌),N,,37.6316217,127.0783723
65,서울특별시 노원구 공릉로232,서울과학기술대 정문 앞(우),N,,37.6316217,127.0783723
66,서울특별시 노원구 동일로 1078,공릉역 1번출구 노랑통닭 앞,N,"동일로, 면목5동, 중랑구, 서울특별시, 02130, 대한민국",37.6892767,127.0554486
67,서울특별시 노원구 하계동 273-3,하계 어린이 공원,N,"하계동, 하계1동, 노원구, 서울특별시, 01806, 대한민국",37.63793,127.07251
68,서울특별시 노원구 동일로 1015,스타벅스 공릉DT점,N,"동일로, 면목5동, 중랑구, 서울특별시, 02130, 대한민국",37.6892767,127.0554486
69,서울특별시 노원구 동일로 1308-1,중계역 2번출구,N,,37.6448907,127.0642467
70,서울특별시 노원구 상계동 611-1,노원역 운전면허시험장 사거리(1),N,"상계동, 상계5동, 노원구, 서울특별시, 01657, 대한민국",37.66727,127.07242
71,서울특별시 노원구 상계동 611-1,노원역 운전면허시험장 사거리(2),N,"상계동, 상계5동, 노원구, 서울특별시, 01657, 대한민국",37.66727,127.07242
72,서울특별시 노원구 동일로 1530-1,마들역 5번출구,N,,37.6650865,127.0576877
73,서울특별시 노원구 동일로 1673,수락산역 4번출구 파크랜드 앞,N,"동일로, 면목5동, 중랑구, 서울특별시, 02130, 대한민국",37.6892767,127.0554486
74,서울특별시 노원구 동일로 1608,채선당 도시락&샐러드 마들점,N,"동일로, 면목5동, 중랑구, 서울특별시, 02130, 대한민국",37.6892767,127.0554486
75,서울특별시 노원구 동일로 1530-1,마들역 8번출구 우리은행 앞,N,,37.6650865,127.0576877
76,서울특별시 노원구 노해로 502,KT 노원지사 스타벅스 앞 ,N,,37.654566,127.0636241
77,서울특별시 노원구 동일로 1308-1,중계역 5번출구,N,,37.6448907,127.0642467
78,서울특별시 노원구 상계로 301-1,당고개역 뒤 사나포차 앞,N,,37.6704638,127.0786816
79,서울특별시 노원구 월계동 56-5,석계역 광장 따릉이 옆,N,"월계동, 월계2동, 노원구, 서울특별시, 01885, 대한민국",37.6289,127.0567
80,서울특별시 노원구 석계로 98-2,광운대역 앞 스타벅스 앞,N,"98-2, 석계로, 월계1동, 노원구, 서울특별시, 01906, 대한민국",37.6235366,127.0614981
81,서울특별시 노원구 동일로 1014,골드퍼피 동물메디컬 센터 앞,N,"동일로, 면목5동, 중랑구, 서울특별시, 02130, 대한민국",37.6892767,127.0554486
82,서울특별시 노원구 동일로 1074,공릉역 3번출구 따릉이 옆,N,,37.625477,127.0730053
83,서울특별시 노원구 동일로 1074,공릉역 4번출구 스타벅스 앞,N,,37.625477,127.0730053
84,서울특별시 노원구 동일로 1114,수협은행 공릉점 앞,N,"동일로, 장암동, 상계1동, 노원구, 서울특별시, 경기도, 01318, 대한민국",37.6892767,127.0554486
85,서울특별시 노원구 동일로 1196,하계역 1번출구 인근,N,,37.6364521,127.0679885
86,서울특별시 노원구 동일로 1196,하계역 6번출구 따릉이 옆,N,,37.6364521,127.0679885
87,서울특별시 노원구 노해로 507,와우쇼핑몰 앞,N,"노해로, 상계6·7동, 노원구, 서울특별시, 01689, 대한민국",37.6543272,127.0619101
88,서울특별시 노원구 동일로 1456,온수골 사거리 주공 715동 앞,N,,37.6579231,127.0606254
89,서울특별시 노원구 동일로242길 5,수락문 평양칼국수 앞,N,"동일로242길, 상계1동, 노원구, 서울특별시, 01631, 대한민국",37.6749799,127.0576913
90,서울특별시 노원구 공릉동 678-1,태릉입구역 1 ~2번출구 현대자동차 앞,N,"공릉동, 공릉2동, 노원구, 서울특별시, 13798, 대한민국",37.63021,127.08818
91,서울특별시 노원구 중계동 434-1,상계동 뚜레주르 앞,N,"중계동, 중계본동, 노원구, 서울특별시, 01743, 대한민국",37.64802,127.07678
92,서울특별시 노원구 상계로23가길 24,상계중앙시장 앞 따릉이 옆 (상계역삼창프라자건너편),N,"상계로23가길, 상계5동, 노원구, 서울특별시, 01696, 대한민국",37.6594687,127.0707597
93,서울특별시 노원구 동일로 1662,수락산역 3번출구  르노코리아 상계대리점 앞,N,"동일로, 면목5동, 중랑구, 서울특별시, 02130, 대한민국",37.617422,127.0758045
94,서울특별시 노원구 중계동 503-3,중계역 4번출구 ,N,"중계동, 중계본동, 노원구, 서울특별시, 01743, 대한민국",37.64802,127.07678
95,서울특별시 노원구 노해로 452,노원역 6번출구 탑티어커피 앞,N,"노해로, 쌍문4동, 도봉구, 서울특별시, 01440, 대한민국",37.6543272,127.0619101
96,서울특별시 노원구 하계동 284-2,하계역 2번출구,N,"하계동, 하계1동, 노원구, 서울특별시, 01806, 대한민국",37.63793,127.07251
97,서울특별시 노원구 하계동 284-2,하계역 3번출구,N,"하계동, 하계1동, 노원구, 서울특별시, 01806, 대한민국",37.63793,127.07251
98,서울특별시 은평구 은평구 녹번동 282,녹번동 282,N,"녹번동, 은평구, 서울특별시, 대한민국",37.6040879,126.9317233
99,서울특별시 은평구 은평구 불광동 274-12,불광동 274-12,N,"불광동, 불광1동, 은평구, 서울특별시, 03362, 대한민국",37.6160647,126.9339579
100,서울특별시 서대문구 서대문구 창천동 30-8,2호선신촌역 2번출구,N,,37.5557814,126.9366594
101,서울특별시 마포구 대흥동 105-47,대흥역 1번출구 앞,N,"대흥동, 중구, 대전광역시, 대한민국",37.5510043,126.9419496
102,서울특별시 마포구 성산동 592-6,마포구청역 2번출구 앞,N,"성산동, 성산2동, 마포구, 서울특별시, 03937, 대한민국",37.56775,126.90263
103,서울특별시 마포구 아현동 329-15,아현역 4번출구,N,"아현동, 마포구, 서울특별시, 대한민국",37.5505624,126.9525116
104,서울특별시 마포구 망원동 377-18,망원역2번출구(이니스프리앞),N,"망원동, 9통, 망원1동, 마포구, 서울특별시, 04006, 대한민국",37.55586,126.90087
105,서울특별시 마포구 공덕동 255-10,공덕역 5번 출구(엘리베이터앞),N,,37.5442664,126.9516585
106,서울특별시 마포구 창전동 146-6,광흥창역 5번 출구 인근(한국조폐공사앞),N,"창전동, 10통, 서강동, 마포구, 서울특별시, 04069, 대한민국",37.55007,126.92938
107,서울특별시 마포구 노고산동 57-2,신촌역 7번출구 계단뒷편 스파오앞,N,"노고산동, 20통, 대흥동, 마포구, 서울특별시, 04101, 대한민국",37.5536471,126.9374998
108,서울특별시 마포구 아현동 607-1,애오개역 4번 출구(화단앞),N,"아현동, 마포구, 서울특별시, 대한민국",37.5505624,126.9525116
109,서울특별시 마포구 대흥동 2-6,이대역 5번 출구(화단앞),N,"대흥동, 중구, 대전광역시, 대한민국",37.5510043,126.9419496
110,서울특별시 마포구 성산동 266-1,마포구청역 4번 출구(LG전자앞),N,"성산동, 성산2동, 마포구, 서울특별시, 03937, 대한민국",37.56775,126.90263
111,서울특별시 마포구 합정동 472,마포한강푸르지오앞,N,"합정동, 마포구, 서울특별시, 04026, 대한민국",37.54678,126.9084
112,서울특별시 마포구 서교동 490,합정역9번출구,N,,37.5509421,126.9137874
113,서울특별시 마포구 서교동 490,합정역10번출구,N,,37.5509421,126.9137874
114,서울특별시 마포구 동교동 155-27,효성홍익인간오피스텔 (홍익대입구역3번),N,"동교동, 서교동, 마포구, 서울특별시, 04051, 대한민국",37.5571419,126.9261901
115,서울특별시 마포구 동교동 167-29,다이소 (홍익대입구역4번),N,"동교동, 선단동, 포천시, 11464, 대한민국",37.5571419,126.9261901
116,서울특별시 마포구 동교동 166-13,홍익대입구역8번출구,N,"동교동, 선단동, 포천시, 11464, 대한민국",37.5571419,126.9261901
117,서울특별시 양천구 목동동로 151,서울출입국 외국인청 입구,Y,"목동동로, 목5동, 양천구, 서울특별시, 07984, 대한민국",37.5372875,126.8852886
118,서울특별시 양천구 신정동 322-3,햇빛문고 앞,Y,"신정동, 남구, 울산광역시, 44677, 대한민국",37.5162407,126.8521196
119,서울특별시 양천구 신정동 322-4,양천문화회관 앞,Y,"신정동, 남구, 울산광역시, 44677, 대한민국",37.5162407,126.8521196
120,서울특별시 양천구 신정동 324-4,한사랑교회 앞,Y,"신정동, 남구, 울산광역시, 44677, 대한민국",37.5162407,126.8521196
121,서울특별시 강서구 마곡동 727-1222,발산역 8번 출구,Y,"마곡동, 방화1동, 강서구, 서울특별시, 07594, 대한민국",37.5586417,126.8368885
122,서울특별시 강서구 마곡동 727-1428,마곡역 3번출구,N,"마곡동, 방화1동, 강서구, 서울특별시, 07594, 대한민국",37.5599704,126.8256196
123,서울특별시 강서구 마곡동 728-163,마곡역 6번 출구,Y,,37.5595238,126.8254533
124,서울특별시 강서구 마곡동 721-4,마곡역 5번 출구,Y,"마곡동, 방화1동, 강서구, 서울특별시, 07594, 대한민국",37.56619,126.8255083
125,서울특별시 강서구 마곡동 799,마곡역 4번 출구,Y,"마곡동, 방화1동, 강서구, 서울특별시, 07594, 대한민국",37.56619,126.8255083
126,서울특별시 강서구 마곡중앙5로 6,마곡나루역 1번 출구,Y,"마곡중앙5로, 마곡동, 방화1동, 강서구, 서울특별시, 07598, 대한민국",37.5674456,126.8179256
127,서울특별시 강서구 마곡중앙5로 6,나루역 2번 출구,Y,"마곡중앙5로, 마곡동, 방화1동, 강서구, 서울특별시, 07598, 대한민국",37.5674456,126.8179256
128,서울특별시 강서구 마곡동 767,마곡광장 입구,Y,"마곡동, 방화1동, 강서구, 서울특별시, 07594, 대한민국",37.56619,126.8255083
129,서울특별시 강서구 마곡동 728-190,마곡나루역 4번 출구,Y,,37.5593224,126.8274019
130,서울특별시 강서구 마곡동 727-1221,발산역 1번 출구/출구 바로 앞 따릉이 거치대 맞은편,Y,"마곡동, 방화1동, 강서구, 서울특별시, 07594, 대한민국",37.5588683,126.8369284
131,서울특별시 강서구 등촌동 673,"발산역 3,4번 출구 사이/출구 사이 엘리베이터 측면",Y,"등촌동, 등촌2동, 강서구, 서울특별시, 07664, 대한민국",37.5498936,126.86025
132,서울특별시 강서구 등촌동 673-1,발산역 4번 출구/자전거 거치대 끝나는 부근,Y,"등촌동, 등촌2동, 강서구, 서울특별시, 07664, 대한민국",37.5498936,126.86025
133,서울특별시 강서구 화곡로 416,가양역 7번출구,N,"더스카이밸리5차, 416, 화곡로, 등촌1동, 강서구, 서울특별시, 07576, 대한민국",37.5600482,126.8553445
134,서울특별시 강서구 등촌동 78-7,가양역 8번 출구 앞,Y,"등촌동, 등촌2동, 강서구, 서울특별시, 07664, 대한민국",37.5498936,126.86025
135,서울특별시 강서구 등촌동 666-2,"가양역 6, 7번 출구 사이",Y,"등촌동, 등촌2동, 강서구, 서울특별시, 07664, 대한민국",37.5498936,126.86025
136,서울특별시 강서구 등촌동 648-4,등촌역 1번 출구,Y,"등촌동, 등촌2동, 강서구, 서울특별시, 07664, 대한민국",37.5498936,126.86025
137,서울특별시 강서구 가양동 449-30,증미역 1번 출구,Y,"가양동, 가양2동, 강서구, 서울특별시, 07525, 대한민국",37.5663502,126.8525524
138,서울특별시 강서구 가양동 449-30,증미역 2번 출구,Y,"가양동, 가양2동, 강서구, 서울특별시, 07525, 대한민국",37.5663502,126.8525524
139,서울특별시 강서구 가양동 449-30,"증미역 1,2번 출구 사이",Y,"가양동, 가양2동, 강서구, 서울특별시, 07525, 대한민국",37.5663502,126.8525524
140,서울특별시 강서구 마곡동 727-1428,마곡역 1번 출구,Y,"마곡동, 방화1동, 강서구, 서울특별시, 07594, 대한민국",37.5599704,126.8256196
141,서울특별시 강서구 공항대로 지하 163,마곡역 2번 출구,Y,,,
142,서울특별시 강서구 방화동 830-8,방화역 1번 출구,Y,"방화동, 방화3동, 강서구, 서울특별시, 07511, 대한민국",37.57682,126.81422
143,서울특별시 강서구 공항대로 571,등촌역 3번 출구 부근,Y,"삼성디지털프라자 강서본점, 571, 공항대로, 염창동, 강서구, 서울특별시, 07948, 대한민국",37.5492127,126.869045
144,서울특별시 강서구 등촌동 505-3,등촌역 8번 출구,Y,"등촌동, 등촌2동, 강서구, 서울특별시, 07664, 대한민국",37.5498936,126.86025
145,서울특별시 강서구 마곡동 767-3,마곡나루역 5번 출구,Y,"마곡동, 방화1동, 강서구, 서울특별시, 07594, 대한민국",37.56619,126.8255083
146,서울특별시 강서구 마곡동 776-2,양천향교역 8번 출구,Y,"마곡동, 방화1동, 강서구, 서울특별시, 07594, 대한민국",37.56619,126.8255083
147,서울특별시 구로구 구로동 603-13,구로역3번출구  앞,Y,"구로동, 구로2동, 구로구, 서울특별시, 08284, 대한민국",37.4945849,126.8845477
148,서울특별시 구로구 신도림동 347-20,신도림역1번출구  앞,Y,"신도림동, 구로구, 서울특별시, 대한민국",37.50941,126.88285
149,서울특별시 구로구 구로동 188-15,구로G밸리비즈플라자  앞,Y,"구로동, 구로2동, 구로구, 서울특별시, 08284, 대한민국",37.4945849,126.8845477
150,서울특별시 금천구 시흥동 113-82,금천구청 M타워 인근,Y,"시흥동, 수정구, 성남시, 13445, 대한민국",37.4507049,126.9085555
151,서울특별시 금천구 가산동 714-2,독산역 2번 출구 인근,Y,"가산동, 금천구, 서울특별시, 대한민국",37.4753253,126.8863954
152,서울특별시 금천구 가산동 670-2,대륭테크노 18차  앞,Y,"가산동, 금천구, 서울특별시, 대한민국",37.4753253,126.8863954
153,서울특별시 금천구 가산동 60-5,갑을그레이트밸리  앞,Y,"가산동, 금천구, 서울특별시, 대한민국",37.4753253,126.8863954
154,서울특별시 금천구 가산동 50-3, 대륭포스트타워6  앞,Y,"가산동, 금천구, 서울특별시, 대한민국",37.4753253,126.8863954
155,서울특별시 금천구 독산동 1099, 한신아파트 앞,Y,"독산동, 독산4동, 금천구, 서울특별시, 08584, 대한민국",37.468399,126.8979571
156,서울특별시 금천구 독산동 1160-5, 롯데캐슬 앞,Y,"독산동, 독산4동, 금천구, 서울특별시, 08584, 대한민국",37.468399,126.8979571
157,서울특별시 금천구 가산동 677, 가산디지털 엠파이어 앞,Y,"가산동, 금천구, 서울특별시, 대한민국",37.4753253,126.8863954
158,서울특별시 금천구 가산동 670-2, 대륭테크노타운18차 앞,Y,"가산동, 금천구, 서울특별시, 대한민국",37.4753253,126.8863954
159,서울특별시 금천구 가산동 371-27, 롯데택배 앞,Y,"가산동, 금천구, 서울특별시, 대한민국",37.4753253,126.8863954
160,서울특별시 금천구 가산동 60-35, 수출의 다리 하부,Y,"가산동, 금천구, 서울특별시, 대한민국",37.4753253,126.8863954
161,서울특별시 금천구 가산동 60-35,현대아울렛 앞,Y,"가산동, 금천구, 서울특별시, 대한민국",37.4753253,126.8863954
162,서울특별시 금천구 독산동 996-9,문성초등학교 앞,Y,"독산동, 독산4동, 금천구, 서울특별시, 08584, 대한민국",37.468399,126.8979571
163,서울특별시 금천구 독산동 995-6,독산3동 주민센터 앞,Y,"독산동, 독산4동, 금천구, 서울특별시, 08584, 대한민국",37.468399,126.8979571
164,서울특별시 금천구 가산동 60-15,가디역 6번 출구 뒤편,N,"가산동, 금천구, 서울특별시, 대한민국",37.4753253,126.8863954
165,서울특별시 금천구 가산동 757,독산역 2번 출구 인근,N,"가산동, 금천구, 서울특별시, 대한민국",37.4753253,126.8863954
166,서울특별시 금천구 시흥동 1020,금천구청 따릉이 대여소 인근,N,"시흥동, 시흥5동, 금천구, 서울특별시, 08573, 대한민국",37.4507049,126.9085555
167,서울특별시 금천구 시흥동 984,금천고버스정류장 (18534) 인근,N,"시흥동, 시흥5동, 금천구, 서울특별시, 08573, 대한민국",37.4507049,126.9085555
168,서울특별시 동작구 본동  344-10,노들역 1번 출구 측면,N,"본동, 달서구, 대구광역시, 대한민국",37.51337,126.95477
169,서울특별시 동작구 상도동  511,숭실대입구 3번출구 ,N,"상도동, 상도4동, 동작구, 서울특별시, 07047, 대한민국",37.4988159,126.9441045
170,서울특별시 동작구 대방동  356-2,공군호텔 버스정류소(20107) 인근,N,"대방동, 동작구, 서울특별시, 대한민국",37.5067997,126.9291349
171,서울특별시 관악구 봉천동 869-1,서울대입구역 4번 출구 인근,N,"봉천동, 중앙동, 관악구, 서울특별시, 08747, 대한민국",37.484665,126.9484961
172,서울특별시 관악구 남부순환로 1805,서울대입구역 5번 출구 인근,N,"에이스에이존, 1805, 남부순환로, 봉천동, 중앙동, 관악구, 서울특별시, 08745, 대한민국",37.4817657,126.9508411
173,서울특별시 관악구 남부순환로 1900,낙성대입구 교차로 인근,N,"1900, 남부순환로, 낙성대동, 관악구, 서울특별시, 08792, 대한민국",37.4780276,126.9602729
174,서울특별시 관악구 남부순환로 1950,낙성대역 버스정류소 주변,N,"1950, 남부순환로, 인헌동, 관악구, 서울특별시, 08793, 대한민국",37.4760765,126.9654052
175,서울특별시 관악구 남부순환로 1710,봉천역 3번 출구 인근,N,"남부순환로, 공항동, 강서구, 서울특별시, 07628, 대한민국",37.482352,126.915423
176,서울특별시 서초구 서초동 1374,대륭서초타워 앞,N,"서초동, 서초1동, 서초구, 서울특별시, 06720, 대한민국",37.48818,127.01751
177,서울특별시 서초구 서초동 1374,현대렉시온 앞,N,"서초동, 서초1동, 서초구, 서울특별시, 06720, 대한민국",37.48818,127.01751
178,서울특별시 서초구 서초동 1375,샐러디 양재역점 앞,N,"서초동, 서초1동, 서초구, 서울특별시, 06720, 대한민국",37.48818,127.01751
179,서울특별시 서초구 서초동 1720-11,대검찰청 건너편,N,"서초동, 서초1동, 서초구, 서울특별시, 06720, 대한민국",37.48818,127.01751
180,서울특별시 서초구 서초동 1582-12,교대입구 삼거리,N,"서초동, 서초1동, 서초구, 서울특별시, 06720, 대한민국",37.48818,127.01751
181,서울특별시 서초구 잠원동 87-1,논현역 8번출구,N,"잠원동, 서초구, 서울특별시, 대한민국",37.5182544,127.0124028
182,서울특별시 서초구 반포동 706-8,논현역 6번출구,N,"반포동, 반포2동, 서초구, 서울특별시, 06546, 대한민국",37.50312,127.0014
183,서울특별시 서초구 반포동 18-1,신반포역 3번출구,N,"반포동, 반포2동, 서초구, 서울특별시, 06546, 대한민국",37.50312,127.0014
184,서울특별시 서초구 방배동 3160,총신대입구역 2번출구,N,"방배동, 방배3동, 서초구, 서울특별시, 06696, 대한민국",37.4798789,126.9939103
